代码	简称	最新价	涨跌	涨跌幅	成交金额(万元)	成交量(手)	开盘	最高	最低	
010107	21国债(7)	102.95	0.10	0.10%	11749.57	1141750	102.85	102.95	102.85	
128035	大族转债	101.80	-0.20	-0.20%	312.68	30832	101.54	101.90	101.09	
128034	江银转债	101.14	-0.55	-0.54%	344.92	34029	101.50	101.67	101.11	
128030	天康转债	93.36	-0.14	-0.15%	53.90	5752	93.19	93.80	93.19	
128029	太阳转债	102.30	-0.92	-0.89%	133.98	13089	102.80	103.96	102.00	
128028	赣锋转债	96.75	-1.02	-1.04%	301.75	30980	97.30	97.77	96.50	
128027	崇达转债	108.03	-0.64	-0.59%	165.70	15284	110.50	110.50	108.02	
128026	众兴转债	89.28	-0.12	-0.13%	255.42	28600	89.24	89.50	89.00	
128025	特一转债	96.03	-0.27	-0.28%	48.36	5030	96.16	96.40	95.68	
128024	宁行转债	111.20	-0.40	-0.36%	3151.91	283519	111.40	111.50	111.00	
128022	众信转债	95.55	0.04	0.04%	10.28	1076	94.51	95.56	94.51	
128021	兄弟转债	99.50	-0.73	-0.73%	1024.07	103180	99.90	100.01	98.36	
128020	水晶转债	93.10	-0.34	-0.36%	665.74	71330	93.45	93.55	93.10	
128018	时达转债	89.70	-0.33	-0.37%	57.16	6363	89.88	90.03	89.54	
128017	金禾转债	100.70	0.04	0.04%	743.47	73876	100.67	101.39	100.33	
128016	雨虹转债	100.14	-0.86	-0.85%	263.97	26284	100.51	100.66	100.08	
128015	久其转债	94.20	0.20	0.21%	58.31	6180	94.00	94.50	93.75	
128014	永东转债	94.69	-0.19	-0.20%	173.84	18320	94.88	95.60	94.60	
128013	洪涛转债	90.90	-0.01	-0.01%	380.20	41856	90.91	91.00	90.71	
128012	辉丰转债	81.26	0.16	0.20%	385.17	47504	80.99	81.29	80.91	
128010	顺昌转债	97.75	-0.01	-0.01%	170.54	17440	97.95	97.95	97.75	
127002	徐工转债	101.00	0.00	0.00%	3.03	300	101.00	101.00	101.00	
112674	18亚迪01	101.10	0.00	0.00%	3538.50	350000	101.10	101.10	101.10	
112596	17瑞康01	97.00	0.00	0.00%	97.00	10000	97.00	97.00	97.00	
112583	17心化01	100.00	0.00	0.00%	2000.00	200000	100.00	100.00	100.00	
112580	17欧菲02	99.59	0.00	0.00%	39.84	4000	99.59	99.59	99.59	
112547	17曲文01	100.80	0.80	0.80%	1804.32	179000	100.80	100.80	100.80	
112537	17牡资01	98.89	1.89	1.95%	1483.31	150000	98.89	98.89	98.89	
112530	17亚迪01	100.60	0.00	0.00%	1006.00	100000	100.60	100.60	100.60	
112518	17TCL01	101.00	0.70	0.70%	505.00	50000	101.00	101.00	101.00	
112478	16奥燃03	92.00	7.00	8.24%	0.09	10	92.00	92.00	92.00	
112473	16海普瑞	95.99	0.49	0.51%	95.99	10000	95.99	95.99	95.99	
112470	16江控01	98.10	0.80	0.82%	294.30	30000	98.10	98.10	98.10	
112466	16彩塑01	95.50	-0.50	-0.52%	191.00	20000	95.50	95.50	95.50	
112464	16东林03	92.50	0.00	0.00%	277.50	30000	92.50	92.50	92.50	
112459	16宜华01	88.00	0.00	0.00%	70.40	8000	88.00	88.00	88.00	
112457	16魏桥05	94.40	0.10	0.11%	797.06	84447	94.30	94.40	94.30	
112444	16万集01	68.89	-0.11	-0.16%	3.44	500	68.89	68.89	68.89	
112424	16文化01	85.00	-4.00	-4.49%	4.25	500	85.00	85.00	85.00	
112421	16信利01	90.00	-4.00	-4.26%	49.60	5400	92.00	92.00	90.00	
112392	16掌趣01	100.00	0.00	0.00%	185.21	18540	100.00	100.00	99.80	
112389	16华西02	95.50	0.00	0.00%	383.15	40120	95.50	95.50	95.50	
112383	16当代债	98.50	0.06	0.06%	49.25	5000	98.50	98.50	98.50	
112382	16南都01	97.30	-0.70	-0.71%	771.28	79450	97.00	97.30	97.00	
112366	16宝安01	97.70	-1.80	-1.81%	1758.60	180000	97.70	97.70	97.70	
112364	16云白01	99.70	0.00	0.00%	0.20	20	99.70	99.70	99.70	
112362	16泛控02	96.20	0.20	0.21%	23.62	2460	96.00	96.20	96.00	
112357	16海资02	92.70	-1.30	-1.38%	41.81	4510	92.70	92.70	92.70	
112346	16惠誉01	91.80	-0.20	-0.22%	115.66	12710	91.03	91.80	91.00	
112341	16宝龙02	99.40	-0.10	-0.10%	745.50	75000	99.40	99.40	99.40	
112339	16中航城	99.87	2.47	2.54%	4993.60	500000	99.87	99.87	99.87	
112330	16巨轮01	89.00	-5.00	-5.32%	622.72	69110	94.50	94.50	86.00	
